meanWidth,meanHeight,meanLength,meanVolume,countStacking,countTurnover,boxesCount,loadingWidth,loadingHeight,loadingLength,density_percent
1000.0,1170.0,1200.0,1404000000.0,26,0,26,2352.0,2385.0,12032.0,55.27211
1000.0,1170.0,1200.0,1404000000.0,26,0,26,2352.0,2385.0,12032.0,55.27211
1000.0,1170.0,1200.0,1404000000.0,27,0,27,2352.0,2385.0,12032.0,57.39796
642.5925925925926,714.074074074074,1641.111111111111,1086324666.6666667,0,0,27,2490.0,2590.0,13490.0,42.80376
660.6896551724138,698.9655172413793,1575.8620689655172,1031791965.5172414,2,0,29,2490.0,2590.0,13490.0,43.66653
1250.0,2075.0,3625.0,11298000000.0,4,4,4,2352.0,2698.0,12032.0,69.71802
926.3888888888889,1331.9444444444443,1186.111111111111,1457222222.2222223,28,0,36,2400.0,2650.0,13600.0,74.09029
1075.0,1818.75,2500.0,6575000000.0,8,8,8,2352.0,2698.0,12032.0,71.67931
1075.0,1818.75,2500.0,6575000000.0,8,8,8,2352.0,2698.0,12032.0,71.67931
929.6875,1373.4375,1221.875,1538125000.0,24,0,32,2400.0,2650.0,13600.0,69.51437
345.7142857142857,494.2857142857143,522.8571428571429,151857142.85714287,175,0,175,2450.0,2450.0,13550.0,58.35529
327.56052141527005,417.13221601489755,513.780260707635,109422718.80819367,537,0,537,2450.0,2450.0,13550.0,84.5985
323.23390894819465,398.7441130298273,511.6169544740973,99309262.16640502,637,0,637,2450.0,2450.0,13550.0,79.69262
338.98916967509024,465.7039711191336,519.4945848375452,136137184.11552346,554,0,554,2480.0,2860.0,12600.0,95.92491
334.11764705882354,408.8235294117647,633.5294117647059,123765647.05882353,17,17,17,1000.0,2330.0,1300.0,73.18317
857.1428571428571,2443.5714285714284,1200.0,2513000000.0,28,28,28,2432.0,2698.0,12032.0,98.61134
295.0,362.5,496.25,52773125.0,32,32,32,800.0,2500.0,1200.0,90.51218
720.0,600.0,1420.0,613440000.0,2,2,2,1000.0,2330.0,1300.0,100.0
720.0,600.0,1420.0,613440000.0,2,2,2,1000.0,2330.0,1300.0,100.0
312.85714285714283,344.85714285714283,494.85714285714283,53357600.0,35,35,35,800.0,2500.0,1200.0,82.78877
929.6875,1373.4375,1221.875,1538125000.0,24,0,32,2400.0,2650.0,13600.0,69.51437
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1060.0,2330.0,1360.0,78.05612
240.0,100.0,310.0,7440000.0,88,0,88,800.0,2000.0,1200.0,80.2589
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1060.0,2330.0,1360.0,78.05612
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1060.0,2330.0,1360.0,85.90096
344.11764705882354,417.05882352941177,646.4705882352941,136298882.3529412,17,17,17,1000.0,2300.0,1300.0,78.5185
742.8571428571429,814.2857142857143,3642.8571428571427,1868571428.5714285,14,14,14,2490.0,2590.0,13490.0,83.38114
742.8571428571429,1028.5714285714287,3642.8571428571427,2640000000.0,14,14,14,2490.0,2590.0,13490.0,58.33333
975.0,1438.4615384615386,1203.8461538461538,1726375000.0,20,0,26,2400.0,2650.0,13600.0,59.79027
190.47826086956522,155.45652173913044,383.5217391304348,15661685.206521738,92,92,92,800.0,1800.0,1200.0,84.94123
190.47826086956522,155.45652173913044,383.5217391304348,15661685.206521738,92,92,92,800.0,1800.0,1200.0,84.94123
173.34883720930233,152.69767441860466,356.7674418604651,12220417.430232558,86,86,86,800.0,1800.0,1200.0,65.63224
166.21176470588236,151.78823529411764,352.7294117647059,10983010.576470587,85,0,85,800.0,1800.0,1200.0,56.27628
194.6818181818182,156.02272727272728,383.45454545454544,16128334.988636363,88,0,88,800.0,1800.0,1200.0,82.13504
459.0,600.0,500.0,137700000.0,78,78,78,2480.0,2860.0,13600.0,97.32179
481.40697674418607,638.2558139534884,718.6046511627907,227218604.6511628,172,172,172,2480.0,2860.0,13600.0,64.37381
947.0588235294117,1373.5294117647059,1111.764705882353,1426294117.6470587,0,0,17,2480.0,2650.0,13600.0,44.59464
981.25,1475.0,1229.1666666666667,1802739583.3333333,18,0,24,2400.0,2650.0,13600.0,57.63234
897.4358974358975,530.7692307692307,1317.948717948718,690769230.7692307,26,26,39,2480.0,2860.0,13600.0,39.97507
300.0,750.0,750.0,229500000.0,240,120,240,2480.0,2860.0,13600.0,70.3125
300.0,750.0,750.0,229500000.0,240,120,240,2480.0,2860.0,13600.0,70.83333
1217.0,1969.0,1930.0,4503215400.0,10,0,10,2480.0,2860.0,13600.0,75.26185
1217.0,1969.0,1930.0,4503215400.0,10,0,10,2480.0,2860.0,13600.0,75.26185
1217.0,1969.0,1930.0,4503215400.0,1,0,10,2480.0,2860.0,13600.0,85.31912
